Year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
1991,13.6,14.5,13.4,13.6,16.2,14.5,11.9,13.9,14.9,12.8,15.6
1996,15.6,14.8,13.4,14.9,13.6,16.3,16.1,14.7,12.6,11.3,17.4
2001,13.7,14.6,12.9,15.2,11.2,12.5,15.1,11.6,11.5,10.5,15.8
2006,12.7,14.2,12.6,12.1,10.3,10.6,14.5,11.3,11.8,10.1,14.6
2011,12.5,11.4,9.2,12.5,9.9,10.8,13.4,10.3,13.2,10.7,15.4
2016,12.7,10.5,8.5,12.8,9,9,15.3,11.4,13.4,11.4,14.9
